æ‡¿Î,«ø∂»
3.012000084,84
3,86
2.982000113,86
2.970000029,85
2.963999987,86
2.941999912,85
2.936000109,85
2.934000015,84
2.936000109,84
2.921999931,85
2.905999899,85
2.907999992,85
2.907999992,85
2.878000021,85
2.885999918,85
2.871999979,87
2.865999937,86
2.844000101,86
2.842000008,85
2.829999924,87
2.849999905,85
2.823999882,87
2.832000017,87
2.819999933,86
2.803999901,86
2.803999901,87
2.799999952,86
2.79399991,86
2.773999929,87
2.769999981,87
2.75,89
2.753999949,86
2.75999999,87
2.737999916,85
inf,0
inf,0
inf,0
inf,0
inf,0
inf,0
0.70599997,143
0.68599999,88
0.688000023,91
0.694000006,93
0.674000025,94
0.688000023,97
0.677999973,97
0.671999991,96
0.675999999,99
0.656000018,100
0.657999992,98
inf,0
inf,0
inf,0
0.680000007,99
0.671999991,99
0.663999975,101
0.671999991,101
inf,0
inf,0
inf,0
0.662,99
0.660000026,100
0.667999983,100
inf,0
inf,0
inf,0
0.662,101
0.662,98
0.649999976,100
0.663999975,99
0.656000018,100
0.663999975,99
0.663999975,99
0.663999975,98
0.674000025,99
0.663999975,100
0.680000007,99
0.657999992,99
0.663999975,99
0.675999999,99
0.675999999,99
0.681999981,100
0.671999991,98
0.675999999,99
0.677999973,99
0.675999999,98
0.667999983,97
0.688000023,100
0.671999991,99
0.667999983,97
0.653999984,94
0.646000028,91
0.634000003,87
0.624000013,88
0.638000011,86
0.625999987,87
0.635999978,86
0.638000011,85
0.649999976,83
0.635999978,82
0.629999995,80
inf,0
inf,0
inf,0
0.588,86
0.583999991,89
0.589999974,91
0.575999975,91
0.575999975,92
0.578000009,92
0.582000017,94
0.572000027,94
0.572000027,93
0.561999977,94
0.578000009,95
0.569999993,96
0.561999977,95
0.558000028,96
0.555999994,95
0.561999977,95
0.572000027,97
0.569999993,96
0.572000027,97
0.561999977,97
0.558000028,99
0.558000028,95
0.56400001,98
0.56400001,97
0.574000001,98
0.558000028,96
0.56400001,96
0.569999993,95
0.565999985,94
0.558000028,94
0.565999985,94
0.555999994,94
0.569999993,92
0.579999983,94
0.569999993,93
0.579999983,93
0.578000009,94
0.588,95
inf,0
inf,0
inf,0
inf,0
0.74000001,116
0.731999993,115
0.74000001,115
0.754000008,112
0.745999992,109
0.765999973,106
0.75999999,106
0.763999999,103
0.768000007,101
0.768000007,103
0.783999979,102
0.790000021,101
0.782000005,100
0.790000021,101
0.790000021,102
0.779999971,101
0.782000005,101
0.782000005,100
0.790000021,100
0.786000013,99
0.786000013,98
0.797999978,98
0.786000013,100
0.79400003,99
0.787999988,100
0.787999988,99
0.796000004,99
0.796000004,97
0.796000004,99
0.79400003,100
0.777999997,100
0.797999978,99
0.796000004,99
0.791999996,100
0.773999989,99
0.796000004,100
0.808000028,101
0.796000004,100
0.800000012,100
0.791999996,99
0.797999978,98
0.797999978,98
0.791999996,99
0.773999989,100
0.779999971,101
