angle,distance,intensity
39.942,1.861999989,96
40.118,1.868000031,95
40.294,1.868000031,97
40.47,1.876000047,95
40.646,1.881999969,95
40.822,1.888000011,95
40.998,1.89199996,96
41.174,1.89199996,96
41.35,1.90199995,94
41.526,1.90199995,97
41.702,1.911999941,95
41.878,1.922000051,95
42.054,1.917999983,94
42.23,1.924000025,94
42.406,1.934000015,94
42.582,1.932000041,96
42.758,1.94599998,94
42.934,1.940000057,94
43.11,1.94599998,95
43.286,1.953999996,93
43.462,1.970000029,95
43.638,1.965999961,94
43.814,1.975999951,94
43.99,1.972000003,94
44.166,1.978000045,94
44.342,1.996000051,93
44.518,1.998000026,94
44.694,1.998000026,93
44.87,2.00999999,96
45.046,2.017999887,93
45.222,2.017999887,93
45.398,2.012000084,94
45.574,2.03399992,94
45.75,2.019999981,94
45.926,2.04399991,94
46.102,2.062000036,93
46.278,2.073999882,94
46.454,2.075999975,93
46.63,2.058000088,94
46.806,2.082000017,94
46.982,2.075999975,95
47.158,2.082000017,95
47.334,2.095999956,95
47.51,2.109999895,92
47.686,2.101999998,94
47.862,2.114000082,92
48.038,2.119999886,94
48.214,2.119999886,93
48.39,2.138000011,94
48.566,2.134000063,92
48.742,2.138000011,92
48.918,2.165999889,93
49.094,2.164000034,93
49.27,2.165999889,92
49.446,2.194000006,93
49.622,2.180000067,92
49.798,2.211999893,92
49.974,2.196000099,93
50.15,2.200000048,92
50.326,2.221999884,94
50.502,2.230000019,93
50.678,2.226000071,93
50.854,2.252000093,93
51.03,2.242000103,94
51.206,2.257999897,92
51.382,2.279999971,92
51.558,2.272000074,92
51.734,2.278000116,93
51.91,2.305999994,91
52.086,2.308000088,92
52.262,2.325999975,92
52.438,2.328000069,91
52.614,2.328000069,91
52.79,2.332000017,92
52.966,2.354000092,90
53.142,2.359999895,90
53.318,2.368000031,91
53.494,2.384000063,88
53.67,2.381999969,90
53.846,2.395999908,91
54.022,2.410000086,90
54.198,2.414000034,90
54.374,2.421999931,90
54.55,2.440000057,90
54.726,2.447999954,91
54.902,2.470000029,91
55.078,2.467999935,89
55.254,2.473999977,90
55.43,2.5,91
55.606,2.503999949,91
55.782,2.522000074,90
55.958,2.546000004,90
56.134,2.549999952,89
56.31,2.549999952,89
56.486,2.565999985,90
56.662,2.569999933,88
56.838,2.568000078,88
57.014,2.585999966,89
57.19,2.60800004,89
57.366,2.621999979,90
57.542,2.638000011,87
57.718,2.654000044,89
57.894,2.664000034,89
58.07,2.665999889,86
58.246,2.680000067,86
58.422,2.701999903,87
58.598,2.696000099,88
58.774,2.732000113,86
58.95,2.730000019,88
59.126,2.75,88
59.302,2.753999949,86
59.478,2.767999887,87
59.654,2.778000116,87
59.83,2.812000036,88
60.006,2.819999933,87
60.182,2.823999882,87
60.358,2.845999956,87
60.534,2.864000082,86
60.71,2.864000082,86
60.886,2.898000002,86
61.062,2.911999941,85
61.238,2.915999889,86
61.414,2.944000006,88
61.59,2.951999903,85
61.766,2.95600009,85
61.942,2.980000019,84
62.118,3.00999999,85
62.294,3.016000032,85
62.47,3.029999971,84
62.646,3.059999943,86
62.822,3.078000069,85
62.998,3.088000059,84
63.174,3.114000082,84
63.35,3.130000114,84
63.526,3.14199996,83
63.702,3.176000118,83
63.878,3.181999922,83
64.054,3.201999903,84
64.23,3.217999935,84
64.406,3.247999907,83
64.582,3.278000116,83
64.758,3.266000032,83
64.934,3.296000004,82
65.11,3.325999975,81
65.286,3.338000059,83
65.462,3.354000092,83
65.638,3.394000053,81
65.814,3.415999889,81
65.99,3.436000109,80
66.166,3.450000048,82
66.342,3.473999977,82
66.518,3.483999968,80
66.694,3.522000074,80
66.87,3.539999962,81
67.046,3.568000078,79
67.222,3.604000092,79
67.398,3.614000082,79
67.574,3.645999908,80
67.75,3.671999931,78
67.926,3.697999954,78
68.102,3.723999977,79
68.278,3.746000051,78
68.454,3.78399992,77
68.63,3.792000055,78
68.806,3.839999914,76
68.982,3.869999886,76
69.158,3.900000095,76
69.334,3.927999973,76
69.51,3.970000029,76
69.686,3.987999916,74
69.862,4.018000126,75
70.038,4.059999943,74
70.214,4.065999985,75
70.39,inf,0
70.566,inf,0
70.742,inf,0
70.918,inf,0
71.094,6.400000095,64
71.27,6.409999847,74
71.446,6.406000137,75
71.622,6.388000011,74
71.798,6.380000114,72
71.974,6.375999928,74
